Indicador,Nombre Indicador,Clave área geográfica,Entidad,Municipio,Periodo,Valor
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2022/07,111.2745518323
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2022/06,112.7975010612
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2022/05,114.4424238001
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2022/04,109.5298658946
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2022/03,111.9401522668
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2022/02,105.2311790249
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2022/01,107.2873035436
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/12,112.3078876771
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/11,112.9378616693
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/10,108.4628264752
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/09,104.2254745273
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/08,107.2195084527
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/07,109.8778508634
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/06,111.1712750535
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/05,112.0640489149
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/04,108.0704416353
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/03,111.5311399687
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/02,102.6662642738
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2021/01,105.3567357466
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/12,110.8489777115
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/11,111.0657844326
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/10,109.2701951606
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/09,103.3683933883
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/08,102.7420281747
6207061409,IGAE. Índice de volumen físico base 2013=100. Total,0700,Estados Unidos Mexicanos,Estados Unidos Mexicanos,2020/07,102.3709949105
